crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,total_rainfall,average_rainfall
Minor Pulses,129.66,94.849998,0.035,86,2017,11,Tamil Nadu,46708,30730,23106,Salem,837.4500048,69.7875004
Minor Pulses,19.18,12.38,0.037,87,2017,11,Tamil Nadu,26117,14250,21215,Coimbatore,773.103595,64.42529958333334
Minor Pulses,29.27,21.540001,0.013,88,2017,11,Tamil Nadu,68490,25236,26076,Tiruchirapalli / Trichy,,
Minor Pulses,208.36,98.269997,0.02,89,2017,11,Tamil Nadu,70852,27786,27935,Thanjavur,1354.27672424,112.85639368666666
Minor Pulses,48.560001,34.029999,0.0060000001,90,2017,11,Tamil Nadu,34392,15902,13182,Madurai,591.6000018999999,49.300000158333326
Minor Pulses,15.47,9.8500004,0.13500001,91,2017,11,Tamil Nadu,40673,6659,3086,Ramananthapuram,,
Minor Pulses,117.88,55.759998,0.026000001,92,2017,11,Tamil Nadu,27878,10765,7054,Thirunelveli,,
Minor Pulses,,,,93,2017,11,Tamil Nadu,4848,1399,1900,The Nilgiris,789.275844,65.772987
Minor Pulses,0.34,0.25,0.0,94,2017,11,Tamil Nadu,9769,3667,2443,Kanyakumari,,
Minor Pulses,10.07,6.1799998,0.0,96,2017,7,Maharashtra,16562,2610,2021,Thane,3398.9999899,283.2499991583333
Minor Pulses,12.02,3.9000001,0.0,97,2017,7,Maharashtra,8955,1235,1219,Raigad,3785.9700368,315.49750306666664
Minor Pulses,7.1599998,4.5300002,0.0,98,2017,7,Maharashtra,11045,3303,2364,Ratnagiri,3776.5599497,314.71332914166663
Minor Pulses,57.130001,33.459999,0.0,100,2017,7,Maharashtra,74311,30280,28300,Dhule,253.0000009,21.083333408333335
Minor Pulses,62.630001,32.700001,0.0,101,2017,7,Maharashtra,96772,47696,74158,Jalgaon,747.019993,62.25166608333333
Minor Pulses,80.160004,29.030001,0.0,102,2017,7,Maharashtra,105164,66273,41883,Ahmednagar,1729.0200297000001,144.085002475
Minor Pulses,36.529999,11.73,0.0,103,2017,7,Maharashtra,97238,48290,34456,Pune,4107.0599600000005,342.2549966666667
Minor Pulses,48.169998,45.200001,0.0,104,2017,7,Maharashtra,49264,25804,19926,Satara,4520.2399993,376.6866666083333
Minor Pulses,36.439999,7.6399999,0.0,105,2017,7,Maharashtra,54620,27950,24678,Sangli,2191.54001981,182.62833498416668
Minor Pulses,36.990002,7.0999999,0.0,106,2017,7,Maharashtra,101756,49267,38343,Solapur,1091.2999799,90.94166499166666
Minor Pulses,10.17,3.0899999,0.0,107,2017,7,Maharashtra,70996,31024,30580,Kolhapur,3451.9100198100004,287.6591683175
Minor Pulses,50.970001,12.69,0.0,108,2017,7,Maharashtra,136182,72462,41774,Aurangabad,820.6862449,68.39052040833333
Minor Pulses,107.58,35.310001,0.0,109,2017,7,Maharashtra,52514,39238,16574,Parbhani,754.1800021,62.84833350833333
Minor Pulses,41.34,16.9,0.0,110,2017,7,Maharashtra,60321,41388,21125,Beed,869.7000102,72.47500085
Minor Pulses,69.370003,20.91,0.0,111,2017,7,Maharashtra,75364,56691,30042,Nanded,954.20000899,79.51666741583334
Minor Pulses,61.700001,16.969999,0.0,112,2017,7,Maharashtra,57017,50445,19119,Osmanabad,761.61999772,63.46833314333333
Minor Pulses,30.639999,17.440001,0.0,113,2017,7,Maharashtra,46834,37943,13656,Buldhana,321.48000579,26.7900004825
Minor Pulses,59.299999,22.1,0.0,114,2017,7,Maharashtra,34359,30699,10789,Akola,274.760898712781,22.896741559398418
Minor Pulses,38.290001,4.9499998,0.0,115,2017,7,Maharashtra,35041,25616,13467,Amarawati,,
Minor Pulses,0.090000004,0.029999999,0.0,117,2017,7,Maharashtra,30404,21073,16426,Wardha,810.949980989,67.57916508241667
Minor Pulses,2.8800001,0.87,0.0,118,2017,7,Maharashtra,50667,30322,10873,Nagpur,964.8499978140001,80.40416648450001
Minor Pulses,27.77,15.13,0.0,119,2017,7,Maharashtra,39166,17288,2044,Bhandara,934.02999101,77.83583258416667
Minor Pulses,39.41,18.27,0.0,120,2017,7,Maharashtra,56306,27211,6878,Chandrapur,880.1599990088,73.34666658406667
Minor Pulses,23.65,15.46,0.65899998,121,2017,3,Gujarat,94632,24161,2928,Ahmedabad,,
Minor Pulses,5.6300001,3.5599999,0.40000001,122,2017,3,Gujarat,47379,24276,2811,Amreli,0.0,
Minor Pulses,10.46,8.3800001,3.5,123,2017,3,Gujarat,120126,36046,12799,Banaskantha,,
Minor Pulses,13.71,9.2700005,2.9000001,124,2017,3,Gujarat,45972,10291,10661,Bharuch,788.799997,65.73333308333333
Minor Pulses,11.52,8.1099997,1.5,125,2017,3,Gujarat,77898,14371,8959,Vadodara / Baroda,,
Minor Pulses,9.3800001,5.7199998,1.0,126,2017,3,Gujarat,62843,29291,5417,Bhavnagar,577.11031656,48.09252638
