crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,total_rainfall,average_rainfall,salinity_alkalinity_percent
Minor Pulses,14.15,5.0900002,0.2,52,2017,1,Andhra Pradesh,38288.0,26127.0,12070.0,Ananthapur,773.7531334678287,64.47942778898572,6.315481563285714
Minor Pulses,8.5500002,7.4099998,1.05,53,2017,1,Andhra Pradesh,47161.0,24126.0,12776.0,Kadapa YSR,773.7531334678287,64.47942778898572,6.315481563285714
Minor Pulses,23.940001,17.52,1.7,54,2017,1,Andhra Pradesh,43320.0,15960.0,8962.0,Chittoor,756.7400029998,63.061666916650005,2.652205203
Minor Pulses,12.14,7.6799998,0.0,55,2017,20,Telangana,29965.0,15280.0,10357.0,Hyderabad,1119.8199991000001,93.31833325833334,0.0
Minor Pulses,13.4,12.73,0.37099999,56,2017,20,Telangana,93054.0,30033.0,11208.0,Nizamabad,842.10002021,70.17500168416667,1.724911466
Minor Pulses,29.33,23.07,0.02,57,2017,20,Telangana,13194.0,8958.0,2670.0,Medak,918.33000999,76.5275008325,1.005789909
Minor Pulses,13.99,9.54,0.017000001,58,2017,20,Telangana,74046.0,35010.0,8556.0,Mahabubnagar,730.8286837080001,60.902390309000005,17.58192712
Minor Pulses,21.26,11.37,0.303,59,2017,20,Telangana,33043.0,14763.0,5605.0,Nalgonda,725.410019,60.45083491666667,15.80632803
Minor Pulses,18.370001,13.16,0.37200001,60,2017,20,Telangana,122203.0,31481.0,16202.0,Warangal,965.94999941,80.49583328416666,9.879514253249999
Minor Pulses,16.200001,9.8500004,1.079,61,2017,20,Telangana,15181.0,8795.0,3643.0,Khammam,928.23998741,77.35333228416667,31.33744182
Minor Pulses,6.23,5.7199998,0.132,62,2017,20,Telangana,12532.0,5973.0,1849.0,Karimnagar,767.4600009999999,63.955000083333324,11.12488977
Minor Pulses,12.68,9.3000002,0.033,63,2017,20,Telangana,59648.0,13502.0,6270.0,Adilabad,746.7200086,62.226667383333336,0.454825911
Minor Pulses,20.129999,14.89,0.20999999,64,2017,5,Karnataka,37554.0,15679.0,5330.0,Bangalore,963.5811069477778,80.2984255789815,12.47323055411111
Minor Pulses,27.66,32.369999,0.029999999,65,2017,5,Karnataka,29931.0,18362.0,7165.0,Kolar,1151.18,95.93166666666667,0.086816909
Minor Pulses,40.689999,13.67,0.14,66,2017,5,Karnataka,24548.0,13290.0,6346.0,Tumkur,963.5811069477778,80.2984255789815,12.47323055411111
Minor Pulses,138.81499772499998,75.172498675,0.02,67,2017,5,Karnataka,46920.0,23006.0,18188.0,Mysore,963.5811069477778,80.2984255789815,12.47323055411111
Minor Pulses,51.330002,24.17,0.0099999998,68,2017,5,Karnataka,49044.0,13855.0,9299.0,Mandya,820.6100028000001,68.38416690000001,0.102585889
Minor Pulses,37.990002,12.34,0.0099999998,69,2017,5,Karnataka,32894.0,19091.0,15439.0,Hassan,885.5400008,73.79500006666667,0.025147948
Minor Pulses,16.200001,8.1999998,1.48,72,2017,5,Karnataka,63447.0,36388.0,13890.0,Chitradurga,610.02999892,50.83583324333333,5.517792473
Minor Pulses,3.8499999,2.96,1.53,73,2017,5,Karnataka,70669.0,37463.0,13491.0,Bellary,963.5811069477778,80.2984255789815,12.47323055411111
Minor Pulses,113.23,13.05,4.3000002,74,2017,5,Karnataka,62588.0,31066.0,12903.0,Dharwad,584.71999621,48.726666350833334,40.158188706749996
Minor Pulses,43.150002,15.01,0.61000001,75,2017,5,Karnataka,92878.0,39229.0,24577.5,Belgaum,963.5811069477778,80.2984255789815,12.47323055411111
Minor Pulses,65.129997,8.4300003,1.5700001,76,2017,5,Karnataka,73977.0,37407.0,23520.0,Bijapur / Vijayapura,963.5811069477778,80.2984255789815,12.47323055411111
Minor Pulses,67.190002,48.709999,0.0,77,2017,5,Karnataka,10275.0,8497.0,2388.0,Bidar,980.3699981,81.69749984166667,2.144761905
Minor Pulses,39.959999,11.27,2.03,78,2017,5,Karnataka,115832.0,62617.0,22756.0,Raichur,747.5600000000001,62.296666666666674,40.158188706749996
Minor Pulses,138.81499772499998,75.172498675,0.11,79,2017,5,Karnataka,70290.0,46001.0,12551.0,Gulbarga / Kalaburagi,963.5811069477778,80.2984255789815,12.47323055411111
Minor Pulses,4.1799998,1.79,0.0,80,2017,5,Karnataka,9700.0,6090.0,9147.0,Dakshina Kannada,1475.4499747229997,118.85490435320604,0.02462354
Minor Pulses,1.87,0.75,0.47999999,81,2017,5,Karnataka,8781.0,4050.0,3845.0,Uttara Kannada,1038.199987,86.51666558333334,0.370385583
Minor Pulses,138.81499772499998,75.172498675,0.037,84,2017,11,Tamil Nadu,85137.0,31903.0,24577.5,South Arcot / Cuddalore,889.107581485,74.09229845708333,22.457356760750002
Minor Pulses,42.919998,31.799999,0.035,85,2017,11,Tamil Nadu,68430.0,23100.0,18324.0,North Arcot / Vellore,889.107581485,74.09229845708333,22.457356760750002
Minor Pulses,129.66,75.172498675,0.035,86,2017,11,Tamil Nadu,46708.0,30730.0,23106.0,Salem,837.4500048,69.7875004,1.03138624
Minor Pulses,19.18,12.38,0.037,87,2017,11,Tamil Nadu,26117.0,14250.0,21215.0,Coimbatore,773.103595,64.42529958333334,7.470587913
Minor Pulses,29.27,21.540001,0.013,88,2017,11,Tamil Nadu,68490.0,25236.0,24577.5,Tiruchirapalli / Trichy,889.107581485,74.09229845708333,22.457356760750002
Minor Pulses,138.81499772499998,75.172498675,0.02,89,2017,11,Tamil Nadu,70852.0,27786.0,24577.5,Thanjavur,1354.27672424,112.85639368666666,40.158188706749996
Minor Pulses,48.560001,34.029999,0.0060000001,90,2017,11,Tamil Nadu,34392.0,15902.0,13182.0,Madurai,591.6000018999999,49.300000158333326,31.60176581
Minor Pulses,15.47,9.8500004,0.13500001,91,2017,11,Tamil Nadu,40673.0,6659.0,3086.0,Ramananthapuram,889.107581485,74.09229845708333,22.457356760750002
Minor Pulses,117.88,55.759998,0.026000001,92,2017,11,Tamil Nadu,27878.0,10765.0,7054.0,Thirunelveli,889.107581485,74.09229845708333,22.457356760750002
Minor Pulses,0.34,0.25,0.0,94,2017,11,Tamil Nadu,9769.0,3667.0,2443.0,Kanyakumari,889.107581485,74.09229845708333,22.457356760750002
Minor Pulses,10.07,6.1799998,0.0,96,2017,7,Maharashtra,16562.0,2610.0,2021.0,Thane,1475.4499747229997,118.85490435320604,2.603828331
Minor Pulses,12.02,3.9000001,0.0,97,2017,7,Maharashtra,8955.0,1235.0,1219.0,Raigad,1475.4499747229997,118.85490435320604,6.553890926
Minor Pulses,7.1599998,4.5300002,0.0,98,2017,7,Maharashtra,11045.0,3303.0,2364.0,Ratnagiri,1475.4499747229997,118.85490435320604,0.942008525
Minor Pulses,57.130001,33.459999,0.0,100,2017,7,Maharashtra,74311.0,30280.0,24577.5,Dhule,253.0000009,21.083333408333335,1.993371106
Minor Pulses,62.630001,32.700001,0.0,101,2017,7,Maharashtra,96772.0,47696.0,24577.5,Jalgaon,747.019993,62.25166608333333,11.39637414
Minor Pulses,80.160004,29.030001,0.0,102,2017,7,Maharashtra,105164.0,63055.5,24577.5,Ahmednagar,1475.4499747229997,118.85490435320604,2.882446944
Minor Pulses,36.529999,11.73,0.0,103,2017,7,Maharashtra,97238.0,48290.0,24577.5,Pune,1475.4499747229997,118.85490435320604,1.139323747
Minor Pulses,48.169998,45.200001,0.0,104,2017,7,Maharashtra,49264.0,25804.0,19926.0,Satara,1475.4499747229997,118.85490435320604,0.486302781
Minor Pulses,36.439999,7.6399999,0.0,105,2017,7,Maharashtra,54620.0,27950.0,24577.5,Sangli,1475.4499747229997,118.85490435320604,3.064618315
Minor Pulses,36.990002,7.0999999,0.0,106,2017,7,Maharashtra,101756.0,49267.0,24577.5,Solapur,1091.2999799,90.94166499166666,3.721281441
Minor Pulses,10.17,3.0899999,0.0,107,2017,7,Maharashtra,70996.0,31024.0,24577.5,Kolhapur,1475.4499747229997,118.85490435320604,1.226774015
Minor Pulses,50.970001,12.69,0.0,108,2017,7,Maharashtra,136182.0,63055.5,24577.5,Aurangabad,820.6862449,68.39052040833333,0.870511425
Minor Pulses,107.58,35.310001,0.0,109,2017,7,Maharashtra,52514.0,39238.0,16574.0,Parbhani,754.1800021,62.84833350833333,0.0
Minor Pulses,41.34,16.9,0.0,110,2017,7,Maharashtra,60321.0,41388.0,21125.0,Beed,869.7000102,72.47500085,0.0
Minor Pulses,69.370003,20.91,0.0,111,2017,7,Maharashtra,75364.0,56691.0,24577.5,Nanded,954.20000899,79.51666741583334,0.23905484
Minor Pulses,61.700001,16.969999,0.0,112,2017,7,Maharashtra,57017.0,50445.0,19119.0,Osmanabad,761.61999772,63.46833314333333,0.061651055
Minor Pulses,30.639999,17.440001,0.0,113,2017,7,Maharashtra,46834.0,37943.0,13656.0,Buldhana,321.48000579,26.7900004825,2.436014768
Minor Pulses,59.299999,22.1,0.0,114,2017,7,Maharashtra,34359.0,30699.0,10789.0,Akola,274.760898712781,22.896741559398418,7.86291722
Minor Pulses,38.290001,4.9499998,0.0,115,2017,7,Maharashtra,35041.0,25616.0,13467.0,Amarawati,1475.4499747229997,118.85490435320604,2.1594773474999998
Minor Pulses,0.090000004,0.029999999,0.0,117,2017,7,Maharashtra,30404.0,21073.0,16426.0,Wardha,810.949980989,67.57916508241667,0.0
Minor Pulses,2.8800001,0.87,0.0,118,2017,7,Maharashtra,50667.0,30322.0,10873.0,Nagpur,964.8499978140001,80.40416648450001,0.0
Minor Pulses,27.77,15.13,0.0,119,2017,7,Maharashtra,39166.0,17288.0,2044.0,Bhandara,934.02999101,77.83583258416667,0.0
Minor Pulses,39.41,18.27,0.0,120,2017,7,Maharashtra,56306.0,27211.0,6878.0,Chandrapur,880.1599990088,73.34666658406667,0.028132066
Minor Pulses,23.65,15.46,0.65899998,121,2017,3,Gujarat,94632.0,24161.0,2928.0,Ahmedabad,762.60680900148,79.4382092709875,22.935061564899996
Minor Pulses,5.6300001,3.5599999,0.40000001,122,2017,3,Gujarat,47379.0,24276.0,2811.0,Amreli,102.37001438140032,79.4382092709875,27.80520836
Minor Pulses,10.46,8.3800001,3.5,123,2017,3,Gujarat,120126.0,36046.0,12799.0,Banaskantha,762.60680900148,79.4382092709875,22.935061564899996
Minor Pulses,13.71,9.2700005,2.9000001,124,2017,3,Gujarat,45972.0,10291.0,10661.0,Bharuch,788.799997,65.73333308333333,40.158188706749996
Minor Pulses,11.52,8.1099997,1.5,125,2017,3,Gujarat,77898.0,14371.0,8959.0,Vadodara / Baroda,762.60680900148,79.4382092709875,22.935061564899996
Minor Pulses,9.3800001,5.7199998,1.0,126,2017,3,Gujarat,62843.0,29291.0,5417.0,Bhavnagar,577.11031656,48.09252638,40.158188706749996
Minor Pulses,13.23,8.8999996,7.0,127,2017,3,Gujarat,31633.0,10840.0,9019.0,Valsad,1475.4499747229997,118.85490435320604,2.452587927
Minor Pulses,8.2799997,5.6799998,2.9000001,128,2017,3,Gujarat,503.0,107.0,56.0,Dangs,762.60680900148,79.4382092709875,22.935061564899996
