state,district,total_rainfall,average_rainfall
Madhya Pradesh,Tikamgarh,588.8100157998,49.06750131665
Madhya Pradesh,Ujjain,802.64999,66.88749916666667
Madhya Pradesh,Umaria,656.3700068,54.69750056666667
Madhya Pradesh,Vidisha,808.1800098,67.34833415
Maharashtra,Ahmednagar,1729.0200297000001,144.085002475
Maharashtra,Akola,274.760898712781,22.896741559398418
Maharashtra,Amravati,472.71001301900003,39.39250108491667
Maharashtra,Aurangabad,820.6862449,68.39052040833333
Maharashtra,Beed,869.7000102,72.47500085
Maharashtra,Bhandara,934.02999101,77.83583258416667
Maharashtra,Buldhana,321.48000579,26.7900004825
Maharashtra,Chandrapur,880.1599990088,73.34666658406667
Maharashtra,Dhule,253.0000009,21.083333408333335
Maharashtra,Gadchiroli,982.7099899899999,81.89249916583333
Maharashtra,Gondia,964.2999991199999,80.35833326
Maharashtra,Hingoli,849.4200090997999,70.78500075831666
Maharashtra,Jalgaon,747.019993,62.25166608333333
Maharashtra,Jalna,836.629989,69.71916575
Maharashtra,Kolhapur,3451.9100198100004,287.6591683175
Maharashtra,Latur,806.110000098,67.1758333415
Maharashtra,Mumbai,0.0,
Maharashtra,Nagpur,964.8499978140001,80.40416648450001
Maharashtra,Nanded,954.20000899,79.51666741583334
Maharashtra,Nandurbar,316.86000509999997,26.405000424999997
Maharashtra,Nashik,1040.8900177,86.74083480833333
Maharashtra,Osmanabad,761.61999772,63.46833314333333
Maharashtra,Palghar,3398.9999899,283.2499991583333
Maharashtra,Parbhani,754.1800021,62.84833350833333
Maharashtra,Pune,4107.0599600000005,342.2549966666667
Maharashtra,Raigad,3785.9700368,315.49750306666664
Maharashtra,Ratnagiri,3776.5599497,314.71332914166663
Maharashtra,Sangli,2191.54001981,182.62833498416668
Maharashtra,Satara,4520.2399993,376.6866666083333
Maharashtra,Sindhudurg,3911.2999800899997,325.9416650075
Maharashtra,Solapur,1091.2999799,90.94166499166666
Maharashtra,Thane,3398.9999899,283.2499991583333
Maharashtra,Wardha,810.949980989,67.57916508241667
Maharashtra,Washim,473.79000199,39.482500165833336
Maharashtra,Yavatmal,763.5999899998,63.63333249998333
Manipur,Bishnupur,3323.0683200000003,276.92236
Manipur,Chandel,3115.6428000000005,259.6369
Manipur,Churachandpur,1964.28384,163.69032
Manipur,Imphal East,2954.48856,246.20737999999997
Manipur,Imphal West,2001.79428,166.81619
Manipur,Jiribam,2954.48856,246.20737999999997
Manipur,Kakching,3198.86568,266.57214
Manipur,Kamjong,2408.3999999999996,200.69999999999996
Manipur,Kangpokpi,0.0,
Manipur,Noney,3161.61696,263.46808
Manipur,Pherzawl,1964.28384,163.69032
Manipur,Senapati,1707.08184,142.25682
